drill_name,category,difficulty,progression,minutes,confidence,basis,evidence
"Outfield Drop Step Drill","Fielding (Fly Balls)","Intermediate",,8,LOW,"category model","no reps_guidance; Fielding (Fly Balls) assumed 11 reps @ 25s x1 pace, setup 3m base +1m Medium"
"Essential Outfield Drills — Fly Balls and Ground Balls","Fielding (Fly Balls)","Intermediate",,10,LOW,"category model","no reps_guidance; Fielding (Fly Balls) assumed 11 reps @ 25s x1 pace, setup 3m base +2m Full Field +1m equipment"
"Stride Pause to Stride Swing Drill","Hitting","Beginner",1,5,HIGH,"stated","frequency_guidance: ""5 min"""
"Soft Toss From the Side","Hitting","Beginner",2,10,MED,"reps","reps_guidance ""3 rounds of 10"" -> 30 reps @ 12s x0.9 pace, setup 3m base +1m Medium +1m equipment"
"Front Toss Drill","Hitting","Beginner",3,10,MED,"reps","reps_guidance ""3 rounds of 8-10"" -> 27 reps @ 12s x0.9 pace, setup 3m base +1m Medium +1m equipment"
"One-Hand Tee Drill (Top Hand)","Hitting","Intermediate",2,8,MED,"reps","reps_guidance ""2 sets of 8 with a light bat"" -> 16 reps @ 12s x1 pace, setup 3m base +1m equipment"
"The Swing Rail / Stay Inside the Ball Drill","Hitting","Intermediate",3,8,MED,"reps","reps_guidance ""3 sets of 8"" -> 24 reps @ 12s x1 pace, setup 3m base +1m equipment"
"Inside-Out Swing Drill (Fence Drill)","Hitting","Intermediate",3,8,MED,"reps","reps_guidance ""3 sets of 8"" -> 24 reps @ 12s x1 pace, setup 3m base"
"Stance & Athletic Position Drill","Hitting","Beginner",1,5,HIGH,"stated","frequency_guidance: ""3 min"""
"Mini Wiffle Ball & Skinny Bat Drill","Hitting","Intermediate",3,8,MED,"reps","reps_guidance ""3 rounds of 10"" -> 30 reps @ 12s x1 pace, setup 3m base"
"Tee Work — Ball Out In Front","Hitting","Beginner",2,10,MED,"reps","reps_guidance ""3 sets of 10"" -> 30 reps @ 12s x0.9 pace, setup 3m base +1m equipment"
"Back Knee Down - Stay Centered","Hitting","Intermediate",3,8,MED,"reps","reps_guidance ""3 sets of 8"" -> 24 reps @ 12s x1 pace, setup 3m base"
"Tee Work","Hitting","Beginner",1,10,MED,"reps","reps_guidance ""3 sets of 10"" -> 30 reps @ 12s x0.9 pace, setup 3m base +1m equipment"
"Low Tee","Hitting","Intermediate",3,8,MED,"reps","reps_guidance ""3 sets of 8"" -> 24 reps @ 12s x1 pace, setup 3m base +1m equipment"
"Line Drive Pro / Visual Feedback Swing Drill","Hitting","Intermediate",3,8,MED,"reps","reps_guidance ""3 sets of 8"" -> 24 reps @ 12s x1 pace, setup 3m base +1m equipment"
"Throwing Progression for Youth Players","Throwing","Beginner",1,10,MED,"reps","reps_guidance ""2 sets of 10 throws through the progression"" -> 20 reps @ 10s x0.9 pace, setup 3m base +1m Medium"
"How to Throw a Baseball — Complete Beginner Mechanics","Throwing","Beginner",2,8,MED,"reps","reps_guidance ""2 sets of 10 throws"" -> 20 reps @ 10s x0.9 pace, setup 3m base +1m Medium"
"How to Throw the RIGHT WAY","Throwing","Intermediate",3,8,MED,"reps","reps_guidance ""2 sets of 12 throws"" -> 24 reps @ 10s x1 pace, setup 3m base +1m Medium"
"The Ankle Eye Drill — Footwork Foundation","Throwing","Beginner",2,5,MED,"reps","reps_guidance ""2 sets of 10 throws"" -> 20 reps @ 10s x0.9 pace, setup 3m base"
"3 Simple Fielding Drills for Youth Players","Fielding (Infield)","Beginner",1,8,MED,"reps","reps_guidance ""15 ground balls"" -> 15 reps @ 15s x0.9 pace, setup 3m base +1m equipment"
"Four Cones Ground Ball Drill","Fielding (Infield)","Beginner",2,8,MED,"reps","reps_guidance ""2 sets of 10 ground balls"" -> 20 reps @ 15s x0.9 pace, setup 3m base +1m equipment"
"How to Get a T-Baller to Catch a Ball","Catching","Beginner",1,5,HIGH,"stated","frequency_guidance: ""5 min"""
"EASY Baseball Catch Drill — First Catch Fundamentals","Throwing","Beginner",2,8,MED,"reps","reps_guidance ""2 sets of 10 catches"" -> 20 reps @ 10s x0.9 pace, setup 3m base +1m equipment"
"Balance Point Drill — Leg Lift & Pause","Pitching","Beginner",1,10,MED,"reps","reps_guidance ""5-8 reps, hold 2-3 sec each"" -> 20 reps @ 20s x0.9 pace, setup 4m base +1m equipment"
"4-Part Windup Drill — Breaking Down the Delivery","Pitching","Beginner",2,8,MED,"reps","reps_guidance ""8-10 reps, stop at each checkpoint"" -> 9 reps @ 20s x0.9 pace, setup 4m base +1m equipment"
"The Swing Shuffle Drill — Momentum & Rhythm","Pitching","Intermediate",3,8,MED,"reps","reps_guidance ""8-10 reps"" -> 9 reps @ 20s x1 pace, setup 4m base +1m Medium +1m equipment"
"Advanced First Base — Off-Line Throws, Picks & Short Hops","Fielding (Infield)","Advanced",4,15,MED,"reps","reps_guidance ""3 sets of 8 picks (announced, random, with runner)"" -> 24 reps @ 15s x1.25 pace, setup 3m base +1m Medium +1m equipment +2m game speed"
"Daily Backhand Series","Fielding (Infield)","Advanced",4,10,HIGH,"stated","ai_coaching_notes: ""10-minute"""
"Opposite-Field Teaching Progression","Hitting","Beginner",2,10,MED,"reps","reps_guidance ""3 rounds of 10 swings, all must go opposite field"" -> 30 reps @ 12s x0.9 pace, setup 3m base +1m Medium +1m equipment"
"Three-Ball Slow Roller Drill","Fielding (Infield)","Advanced",4,8,MED,"reps","reps_guidance ""3 circuits of 3 balls per session"" -> 9 reps @ 15s x1.25 pace, setup 3m base +1m Medium +2m game speed"
"Double-Play Feeds & Turns","Fielding (Infield)","Advanced",4,15,MED,"reps","reps_guidance ""4 rounds of 6 turns per pairing"" -> 24 reps @ 15s x1.25 pace, setup 3m base +1m Medium +1m equipment +2m game speed"
"Call It Early — Outfield Communication Basics","Fielding (Fly Balls)","Beginner",1,8,MED,"reps","reps_guidance ""10-12 fly balls per pair"" -> 11 reps @ 25s x0.9 pace, setup 3m base +1m Medium"
"Infield/Outfield Priority Drill","Fielding (Fly Balls)","Intermediate",3,8,MED,"reps","reps_guidance ""8-10 tweeners per group"" -> 9 reps @ 25s x1 pace, setup 3m base +2m Full field"
"Competitive Team Bunting Game","Bunting","Advanced",4,10,MED,"reps","reps_guidance ""Each player: 4-6 competitive bunt attempts"" -> 5 reps @ 10s x1.25 pace, setup 3m base +2m Full field +1m equipment +2m game speed"
"Do-or-Die Charge & Throw","Fielding (Fly Balls)","Advanced",4,12,MED,"reps","reps_guidance ""6-8 charged balls per session"" -> 7 reps @ 25s x1.25 pace, setup 3m base +2m Full field +1m equipment +2m game speed"
"Oppo Tee & Toss — Stay Inside the Ball","Hitting","Intermediate",3,10,MED,"reps","reps_guidance ""4 sets of 8 swings on the outer-third tee"" -> 32 reps @ 12s x1 pace, setup 3m base +1m equipment"
"Traditional Changeup — Grip & First Throws","Pitching","Beginner",2,10,MED,"reps","reps_guidance ""15-20 changeup throws within a normal catch session"" -> 17.5 reps @ 20s x0.9 pace, setup 4m base"
"Teaching the Changeup — Fastball Arm, Slower Ball","Pitching","Intermediate",3,10,MED,"reps","reps_guidance ""10-12 changeups per bullpen, mixed with fastballs"" -> 11 reps @ 20s x1 pace, setup 4m base +1m Medium +1m equipment"
"Changeup Grip Menu — Match the Grip to the Hand","Pitching","Intermediate",3,8,MED,"reps","reps_guidance ""10 throws per grip during catch play"" -> 10 reps @ 20s x1 pace, setup 4m base"
"The Catch Drill — Track & Read Pitches","Hitting","Intermediate",3,8,MED,"reps","reps_guidance ""2 rounds of 10 pitches, calls scored"" -> 20 reps @ 12s x1 pace, setup 3m base +1m Medium +1m equipment"
"Stay Back — Beat the Changeup","Hitting","Intermediate",3,12,MED,"reps","reps_guidance ""3 rounds of 12 mixed-speed swings"" -> 36 reps @ 12s x1 pace, setup 3m base +1m Medium +1m equipment"
"The Move-'Em At-Bat — Advancing Runners","Hitting","Advanced",4,10,MED,"reps","reps_guidance ""2 situational rounds of 6 at-bat scenarios per session"" -> 12 reps @ 12s x1.25 pace, setup 3m base +2m Full field +1m equipment +2m game speed"
"Overload/Underload Bat Speed Progression","Hitting","Advanced",4,20,MED,"reps","reps_guidance ""3 rounds: 5 heavy + 5 light + 5 game-bat swings"" -> 45 reps @ 12s x1.25 pace, setup 3m base +2m equipment +2m game speed"
"Deaden & Direct — Bunt Placement Drill","Bunting","Intermediate",3,8,MED,"reps","reps_guidance ""3 rounds of 10 bunts, alternating target lanes"" -> 30 reps @ 10s x1 pace, setup 3m base +1m equipment"
"Post-Throwing Recovery Routine","Arm Care","Intermediate",3,15,HIGH,"stated","ai_coaching_notes: ""15 minute"""
"Youth Receiving Foundations — Quiet Glove & Soft Hands","Catching","Beginner",2,10,MED,"reps","reps_guidance ""3 rounds of 10 catches (glove-side, middle, arm-side)"" -> 30 reps @ 12s x0.9 pace, setup 4m base +1m equipment"
"MLB-Style Receiving & Framing Circuit","Catching","Intermediate",3,15,MED,"reps","reps_guidance ""5 drills x 8-10 receives each"" -> 45 reps @ 12s x1 pace, setup 4m base +1m equipment"
"3 Simple Framing Drills for Catchers","Catching","Intermediate",,10,MED,"reps","reps_guidance ""3 sets of 10 receptions"" -> 30 reps @ 12s x1 pace, setup 4m base +1m equipment"
"Flyball Communication Drill","Fielding (Fly Balls)","Intermediate",3,12,MED,"reps","reps_guidance ""2 sets of 8 fly balls between two outfielders"" -> 16 reps @ 25s x1 pace, setup 3m base +2m Outfield/large"
"One-Knee Receiving — Advanced Framing Setup","Catching","Advanced",4,15,MED,"reps","reps_guidance ""4 sets of 10 receives per setup (RH low, LH low, edges)"" -> 40 reps @ 12s x1.25 pace, setup 4m base +1m equipment +2m game speed"
"Youth J-Band Routine — Pre-Throwing Activation","Arm Care","Beginner",1,10,MED,"reps","reps_guidance ""1 round of 8-10 reps per exercise, before every throwing session"" -> 9 reps @ 20s x0.9 pace, setup 2m base"
"9-Exercise J-Band Strength Routine","Arm Care","Intermediate",3,10,MED,"reps","reps_guidance ""2 sets of 10 reps per exercise"" -> 20 reps @ 20s x1 pace, setup 2m base"
